date,Egypt,Ethiopia,Liberia,Morocco,South Africa,Other Africa
1830,0,0,1,0,0,14
1840,0,0,8,0,0,42
1850,0,0,5,0,0,56
1860,0,0,7,0,0,77
1870,4,0,43,0,35,325
1880,29,0,52,0,48,242
1890,145,0,21,0,23,574
1900,51,0,9,0,9,363
1910,0,0,0,0,0,6326
1920,0,0,0,0,0,8867
1930,1063,0,0,0,0,5299
1940,781,10,35,73,312,909
1950,1613,28,37,879,1022,3141
1960,1996,302,289,2703,2278,5448
1970,5581,804,841,2880,4360,9314
1980,23543,2588,2391,1967,10002,30917
1990,26744,12927,6420,3471,15505,76923
2000,44604,40097,13587,15768,21964,210396
2010,81564,87207,23316,40844,32221,494590
