date,"Canada and Newfoundland 16, 17","Mexico 17,18",Cuba,Dominican Republic,Haiti,Jamaica 19,Other Caribbean 19
1820,2297,3835,0,0,0,0,3061
1830,11875,7187,0,0,0,0,11792
1840,34285,3069,0,0,0,0,11803
1850,64171,3446,0,0,0,0,12447
1860,117978,1957,0,0,0,0,8751
1870,324310,5133,0,0,0,0,14285
1880,492865,2405,0,0,0,0,27323
1890,3098,734,0,0,0,0,31480
1900,123067,31188,0,0,0,0,100960
1910,708715,185334,0,0,0,0,120860
1920,949286,498945,12769,0,0,0,70713
1930,162703,32709,10641,1026,156,0,6229
1940,160911,56158,25976,4802,823,0,14593
1950,353169,273847,73221,10219,3787,7397,21037
1960,433128,441824,202030,83552,28992,62218,50443
1970,179267,621218,256497,139249,55166,130226,127712
1980,156313,1009586,132552,221552,121406,193874,120725
1990,194788,2757418,159037,359818,177446,177143,131243
2000,236349,1704166,271742,291492,203827,172523,114385
2010,19491,138717,33372,53890,22336,19439,10396
